Cod_Loc,IdProvincia,IdDepartamento,Observacion,Categoría,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,actividad
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Game Ever Studio,Zapiola 2450,,http://www.gameeverstudio.com,Desarrolladores de videojuegos,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
06427010,06,06427,,Estudio de desarrolladores de videojuegos,Buenos Aires,La Matanza,La Matanza,Pandora Studio,s/d,,,,-34.67644372,-58.56036853,Localización centroide ,GOB. BS. AS. / SInCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Globant,s/d,,http://www.globant.com,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
90084010,90,90084,,Estudio de desarrolladores de videojuegos,Tucumán,Capital,San Miguel de Tucuman,Indio Games,s/d,,http://www.indio-games.com,,-26.82900979,-65.21054418,Localización centroide ,juegosargentinos.org / SINCA,2022
82063170,82,82063,,Estudio de desarrolladores de videojuegos,Santa Fe,La Capital,Santa Fe,Killabunnies,s/d,,http://www.killabunnies.com.ar,"Estudio de desarrollo de videojuegos, desarrollan juegos web, móviles y de escritorio basados en su propia IP original, pero también ofrecen servicios de desarrollo integrales de advertgaming y juegos personalizados basados en IP del cliente",-31.64516481,-60.70931471,Localización centroide ,ADVA / juegosargentinos.org ,2022
06840010,06,06840,,Estudio de desarrolladores de videojuegos,Buenos Aires,Tres de Febrero,Tres de Febrero,L2D games,s/d,,http://www.l2dgames.com/,,-34.60484972,-58.56096157,Localización centroide ,ADVA / juegosargentinos.org ,2022
06441030,06,06441,,Estudio de desarrolladores de videojuegos,Buenos Aires,La Plata,La Plata,Guazu,s/d,,,,-34.92206666,-57.95439165,Localización centroide ,GOB. BS. AS / SINCA,2022
06441030,06,06441,,Estudio de desarrolladores de videojuegos,Buenos Aires,La Plata,La Plata,Yelomba,s/d,,,,-34.92206666,-57.95439165,Localización centroide ,juegosargentinos.org,2022
06434010,06,06434,,Estudio de desarrolladores de videojuegos,Buenos Aires,Lanus,Lanus,HD Games Studio,s/d,,,,-34.70635952,-58.39108576,Localización centroide ,ADVA / GOB. BS. AS.,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,LemonChilli Games,s/d,,http://www.lemonchiligames.com/,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,MeNic Games,s/d,,http://www.menic.games/,Estudio de desarrollo de videojuegos independientes para PC y Mobile,-31.41381662,-64.18333843,Localización centroide ,MICA,2022
06581040,06,06581,,Estudio de desarrolladores de videojuegos,Buenos Aires,Necochea,Necochea - Quequen,Mulita Soft,s/d,,,Desarrollo de juegos indie casuales,-38.55561067,-58.73833962,Localización centroide ,juegosargentinos.org,2020
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,NGD Studios,s/d,,http://www.ngdstudios.com,,-34.61092523,-58.3887254,Localización centroide ,SINCA // juegosargentinos.org ,2022
82084270,82,82084,,Estudio de desarrolladores de videojuegos,Santa Fe,Rosario,Rosario,OneEyeAnt,s/d,,http://www.oneeyeant.com/,,-32.95381426,-60.65153794,Localización centroide ,ADVA / juegosargentinos.org ,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,The Other Guys,s/d,,http://www.other-guys.com,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,PapaCorps,San Bolívar 1618,,http://www.papacorps.com,Desarrolladores de videojuegos,-34.61092523,-58.3887254,Localización centroide ,juegosargentinos.org,2020
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Pathfinders Studio,s/d,,http://www.pathfindersstudio.com/,,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,PixOwl,s/d,,http://www.pixowl.com,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Purple Tree,Monroe 4539,,http://www.purpletreestudio.com,Estudio de desarrollo centrado en crear juegos móviles y en línea,-34.57062201,-58.4804855,Localización precisa,juegosargentinos.org / SINCA,2022
50021010,50,50021,,Estudio de desarrolladores de videojuegos,Mendoza,Godoy Cruz,Godoy Cruz,Retsa Games,s/d,,http://www.retsagames.com/,,-32.91277473,-68.85730237,Localización centroide ,juegosargentinos.org,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Saibot Studios,s/d,,http://www.saibotstudios.com,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
50021010,50,50021,,Estudio de desarrolladores de videojuegos,Mendoza,Godoy Cruz,Godoy Cruz,Scubalight Studios,s/d,,http://www.scubalightstudios.com/,Estudio de desarrollo y animación de videojuegos,-32.91277473,-68.85730237,Localización centroide ,ADVA / juegosargentinos.org ,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Senscape,s/d,,http://www.senscape.net,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
82021310,82,82021,,Estudio de desarrolladores de videojuegos,Santa Fe,Castellanos,Rafaela,Sismo Games,s/d,,http://www.sismogames.com,"Compañía que se dedica al desarrollo de videojuegos online, redes sociales y iPhone",-31.24824824,-61.49981179,Localización centroide ,ADVA / MICA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Souvegames,José Luis Lagrange 5507,,http://www.souvegames.com,,-31.36077774,-64.24967385,Localización precisa,ADVA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Sureksu,s/d,,http://www.sureksu.com,,-31.41381662,-64.18333843,Localización centroide ,ADVA / juegosargentinos.org ,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Tetabester,s/d,,http://www.tetabester.com,,-34.61092523,-58.3887254,Localización centroide ,juegosargentinos.org / SINCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Tipitap,s/d,,http://www.tipitap.com/,,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Widow Games,s/d,,http://www.widowgames.com,,-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,WillDom,s/d,,http://www.willdom.com,,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Wonbats,s/d,,http://www.wonbats.com,,-34.61092523,-58.3887254,Localización centroide ,juegosargentinos.org,2021
06203020,06,06203,,Estudio de desarrolladores de videojuegos,Buenos Aires,Coronel Suarez,Coronel Suarez,ArkOne Studios,s/d,,https://arkonestudios.com/?lang=es,Desarrollo de videojuegos para dispositivos móviles,-37.45962249,-61.93175301,Localización centroide ,ADVA,2022
06441030,06,06441,,Estudio de desarrolladores de videojuegos,Buenos Aires,La Plata,La Plata,Avix,s/d,,https://avix.tv,,-34.92206666,-57.95439165,Localización centroide ,ADVA / MICA,2022
s/d,06,s/d,,Estudio de desarrolladores de videojuegos,Buenos Aires,s/d,s/d,Caripelas Games,s/d,,https://caripelagames.com/,,s/d,s/d,Sin datos,MICA,2022
70028010,70,70028,,Estudio de desarrolladores de videojuegos,San Juan,Capital ,San Juan,Tharax's Party,s/d,,https://gabiruiz91.itch.io/,,-31.53719704,-68.52501832,Localización centroide ,MICA,2022
06861010,06,06861,,Estudio de desarrolladores de videojuegos,Buenos Aires,Vicente Lopez,Vicente Lopez,Games Station,s/d,,https://gstationstudio.com/es/__home/,,-34.50850085,-58.48163942,Localización Centroide,ADVA,2022
06441030,06,06441,,Estudio de desarrolladores de videojuegos,Buenos Aires,Capital,La Plata,Hidden People Club,s/d,,https://hiddenpeople.club/,,-34.92206666,-57.95439165,Localización centroide ,ADVA,2022
06364030,06,06364,,Estudio de desarrolladores de videojuegos,Buenos Aires,General Rodriguez,General Rodriguez,JAK Games,s/d,,https://jakgames.net/,,-34.6079239,-58.95028204,Localización centroide ,GOB. BS. AS / SINCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Khem Labs,s/d,,https://khemlabs.com/es/,,-34.61092523,-58.3887254,Localización centroide ,MICA,2022
06056010,06,06056,,Estudio de desarrolladores de videojuegos,Buenos Aires,Bahia Blanca,Bahia Blanca,Libromancy Studios,s/d,,https://libromancy-studios.itch.io/,,-38.71380524,-62.2659599,Localización centroide ,GOB. BS. AS / SINCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Nigiri Games,s/d,,,,-34.61092523,-58.3887254,Localización centroide ,juegosargentinos.org ,2021
70028010,70,70028,,Estudio de desarrolladores de videojuegos,San Juan,Capital ,San Juan,Moon Valley Studio,s/d,,https://moonvalley.xyz/,,-31.53719704,-68.52501832,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Nimble Giant,Dorrego 1789,,https://nimblegiant.com/,"Nimble Giant is one of the leading game dev. studios in LatAm. Our 1st major release Champions of Regnum, was the 1st commercial MMORPG made in the region. Our latest title is the reimagining of the classic strategy game Master of Orion, published by Wargaming under the WG Labs label. In Sept. 2016 acquired and merged with Red Katana. ",-34.58103787,-58.44247638,Localización precisa,ADVA,2022
82084270,82,82084,,Estudio de desarrolladores de videojuegos,Santa Fe,Rosario,Rosario,Seven Leaf Clover,s/d,,https://payloadersstrike.web.app/,,-32.95381426,-60.65153794,Localización centroide ,MICA,2022
06077010,06,06077,,Estudio de desarrolladores de videojuegos,Buenos Aires,Arrecifes,Arrecifes,Player Studio27,s/d,,https://player-studio27.itch.io/,,-34.06459112,-60.10255644,Localización centroide ,GOB. BS. AS / SINCA,2022
06658010,06,06658,,Estudio de desarrolladores de videojuegos,Buenos Aires,Quilmes,Quilmes,Red Mage Games,s/d,,https://redmagegames.com/,,-34.72469143,-58.26134074,Localización centroide ,GOB. BS. AS. / SInCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Broken Compass,s/d,,https://store.playstation.com/es-ar/concept/10003179,,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Studio Soup,s/d,,https://studiosoup.tv/,,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Tumba Games,s/d,,,,-34.61092523,-58.3887254,Localización centroide ,juegosargentinos.org / SINCA,2022
06756010,06,06756,,Estudio de desarrolladores de videojuegos,Buenos Aires,San Isidro ,Martinez,Vibra Gaming,Pasteur 51,,https://vibragaming.com/es,,-34.49564393,-58.49697129,Localización precisa,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Wildlife Studios,Av. del Libertador 7208,,https://wildlifestudios.com/,,-34.54642013,-58.45773559,Localización precisa,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Waman Studio,s/d,,,,-34.61092523,-58.3887254,Localización centroide ,juegosargentinos.org ,2020
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Blossom La Jirafa Games,s/d,,https://www.arisorpresa.com/blossomlajirafa.html,,-31.41381662,-64.18333843,Localización centroide ,MICA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Axios,s/d,,https://www.axiosgames.com/,,-34.61092523,-58.3887254,Localización Centroide,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Cexar.io,s/d,,https://www.cexar.io,Desarrolla juegos MMORPG basados en blockchain,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Agamess,s/d,,https://www.facebook.com/azgamess/,"Desarrollo de videojuegos, animaciones y proyectos",-31.41381662,-64.18333843,Localización centroide ,juegosargentinos.org,2020
06056010,06,06056,,Estudio de desarrolladores de videojuegos,Buenos Aires,Bahía Blanca,Bahia Blanca,DashTeam Games,s/d,,https://www.facebook.com/Dashteamgames/,,-38.71380524,-62.2659599,Localización centroide ,MICA / GOB. BS. AS,2022
06357110,06,06357,,Estudio de desarrolladores de videojuegos,Buenos Aires,General Pueyrredon,Mar del Plata,Evil Guinea Pig,s/d,,https://www.facebook.com/evilguineapigstudios,,-37.99886401,-57.54753294,Localización centroide ,ADVA / juegosargentinos.org ,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Asociety.games,s/d,,,,-31.41381662,-64.18333843,Localización centroide ,SINCA,2021
82063170,82,82063,,Estudio de desarrolladores de videojuegos,Santa Fe,Capital,Santa Fe,The Rabbit Hole,San Jeronimo 1107,,https://www.instagram.com/therabbitholegames/?hl=es,Incubadora y aceleradora de proyectos,-31.64516481,-60.70931471,Localización centroide ,ADVA,2022
90084010,90,90084,,Estudio de desarrolladores de videojuegos,Tucumán,Capital,San Miguel de Tucuman,Last Minute Crew,s/d,,https://www.lastminutecrew.com.ar/,,-26.82900979,-65.21054418,Localización centroide ,MICA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Odaclick,s/d,,,,-31.41381662,-64.18333843,Localización centroide ,ADVA,2022
50007010,50,50007,,Estudio de desarrolladores de videojuegos,Mendoza,Capital,Mendoza,Mauve Studio,s/d,,https://www.linkedin.com/company/estudiomauve/?originalSubdomain=ar,,-32.8869689,-68.85430752,Localización centroide ,ADVA,2022
50007010,50,50007,,Estudio de desarrolladores de videojuegos,Mendoza,Capital,Mendoza,Fulgora,s/d,,https://www.linkedin.com/company/f%C3%BAlgora/?originalSubdomain=ar ,,-32.8869689,-68.85430752,Localización centroide ,ADVA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Ravegan,s/d,,,,-31.41381662,-64.18333843,Localización centroide ,ADVA / juegosargentinos.org ,2022
50028020,50,50028,,Estudio de desarrolladores de videojuegos,Mendoza,Guaymallen,Guaymallen,Parenthesix,s/d,,https://www.linkedin.com/company/parenthesix/?originalSubdomain=ar,,-32.884606,-68.82204114,Localización centroide ,ADVA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,Simbios Labs,s/d,,,Estudio de desarrollo independiente de videojuegos,-31.41381662,-64.18333843,Localización centroide ,juegosargentinos.org,2020
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Matajuegos,s/d,,https://www.mata.juegos/es/,,-34.61092523,-58.3887254,Localización centroide ,MICA,2022
06441030,06,06441,,Estudio de desarrolladores de videojuegos,Buenos Aires,Capital,La Plata,MayLand Labs,s/d,,https://www.mayland.games/,,-34.92206666,-57.95439165,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,NXA Estudios,s/d,,https://www.nxastudios.com/,outsourcing de arte,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
14014010,14,14014,,Estudio de desarrolladores de videojuegos,Córdoba,Capital,Cordoba,RunDOS Studio,s/d,,https://www.rundosstudio.com/,RunDOS es un estudio de la ciudad de Villa Maria que se dedica al desarrollo de videojuegos y juegos de mesa,-31.41381662,-64.18333843,Localización centroide ,SInCA,2022
50007010,50,50007,,Estudio de desarrolladores de videojuegos,Mendoza,Capital ,Mendoza,Startreming Games,s/d,,https://www.startreming.com/,,-32.8869689,-68.85430752,Localización centroide ,ADVA,2022
06490010,06,06490,,Estudio de desarrolladores de videojuegos,Buenos Aires,Lomas de Zamora,Lomas de Zamora,The Virtual Side,s/d,,https://www.thevirtualside.com/,,-34.76116024,-58.39876606,Localización centroide ,GOB. BS. AS. / SInCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,UNTREF Media,s/d,,https://www.untrefmedia.com/es/tags/videojuegos,"Desarrollan videojuegos para plataformas mobile, PC, web y consolas",-34.61092523,-58.3887254,Localización centroide ,ADVA / juegosargentinos.org ,2022
06357110,06,06357,,Estudio de desarrolladores de videojuegos,Buenos Aires,s/d,s/d,Trick Gaming Studios,s/d,,https://www.waypoint.la/,,-37.99886401,-57.54753294,Localización centroide ,juegosargentinos.org // SINCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Yaguar,s/d,,https://yaguar.xyz/,,-34.61092523,-58.3887254,Localización centroide ,ADVA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,5SEIS,s/d,,www.5seis.com.ar,,-34.61092523,-58.3887254,Localización centroide ,SINCA,2022
02000010,02,02000,,Estudio de desarrolladores de videojuegos,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Digi Learnnials,s/d,,www.digilearnnials.com,Ofrecemos asesoría profesional para cada estadío del proceso de desarrollo de un video juego. Empoderamos a nuestros clientes entregando información de valor tangible que mejora las chances de éxito de su producto.,-34.61092523,-58.3887254,Localización Centroide,DIGI Learnnials // ADVA,2022
82119050,82,82119,,Estudio de desarrolladores de videojuegos,Santa Fe,San Lorenzo,Fray Luis Beltran,Estudios NyX,s/d,,www.estudiosnyx.com/,,-32.78555819,-60.72912364,Localización centroide ,juegosargentinos.org/SINCA,2021
82063170,82,82063,,Estudio de desarrolladores de videojuegos,Santa Fe,La Capital,Santa Fe,Ideart Art + Technology,s/d,,www.ideart.com.ar,"Ideart desarrolla experiencias inmersivas, interactivas e intuitivas de realidad aumentada y realidad virtual para diversas plataformas o dispositivos móviles para: educación, salud, turismo, branding, arquitectura y entretenimiento, con un alto grado de adaptabilidad a otros campos.",-31.64516481,-60.70931471,Localización centroide ,ADVA,2022
